ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	201	-0.8604754973533332	-2.3132908983701923	1.8256997816672498e-42	9.128498908336249e-41	6.149725580352843e-41	1842	tags=67%, list=8%, signal=62%	Nampt/Cmpk2/Il15/Psme2/H2-DMa/Pml/Psme1/Tnfaip3/Psmb10/Pla2g4a/Nod1/Il15ra/Ripk1/Ly6e/Vamp8/Il6/Mvp/Selp/Irf9/Lcp2/Fas/Cd38/Ifitm2/Stat2/Myd88/Casp7/Upp1/Cfh/Vcam1/H2-M2/Pim1/Nmi/Cmklr1/Plscr1/Trim25/Ifit1bl1/Tapbp/Helz2/Rigi/Il7/Il10ra/Parp12/Ifi35/Icam1/Tnfaip2/Samhd1/C1rb/Casp8/Cd86/H2-M3/Ptpn6/Eif2ak2/Herc6/Ciita/Xaf1/Il18bp/Apol6/Trim21/Stat4/Tnfsf10/Irf8/H2-Q10/Dhx58/Ifit2/Irf4/Irf1/Ube2l6/Csf2rb2/Socs3/Socs1/Ifih1/Trim14/Il4ra/Casp1/Lgals3bp/C1s1/Ifitm3/Samd9l/Cfb/Rnf213/Rtp4/Sp110/Gbp9/H2-D1/Stat1/Itgb7/Serping1/B2m/Fcgr1/Isg20/Cd40/Rsad2/Ifi30/Casp4/Parp14/Ddx60/Oas2/Bst2/Ifit3/Gbp3/Usp18/Isg15/Fgl2/Cd274/Epsti1/Psmb8/Psmb9/Oas3/Tap1/Ifi44/Ccl7/Gpr18/Batf2/Gbp4/Irf7/Cd69/Xcl1/Klrk1/Il2rb/Nlrc5/Oasl1/H2-Q7/H2-Eb1/Sectm1a/Gbp8/Cd74/Ccl2/H2-Aa/Zbp1/Gbp10/Slamf7/Cxcl10/Ccl5/Gzma/Cxcl9
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	195	-0.8594197373573071	-2.3078583062113327	4.634049553447e-40	1.15851238836175e-38	7.804715037384422e-39	1876	tags=60%, list=8%, signal=55%	F2r/Map4k1/Icosl/Zap70/Il15/H2-DMa/Csf1/Lif/Psmb10/Tgfb1/Tlr3/Il6/Ets1/Cd80/Il2/Lcp2/Fas/Ly75/Cdkn2a/C2/Cd7/Tapbp/Cd79a/Gcnt1/Il7/Il18rap/H2-Ob/Lyn/Lck/Was/Icam1/Tlr6/Nlrp3/Ccr5/Ccl19/Srgn/Cd86/Spi1/H2-M3/Ptpn6/Hcls1/Ly86/Ccl22/Ctss/Igsf6/Nos2/Il27ra/Tap2/Il12rb1/Capg/Stat4/H2-DMb1/Irf8/Tlr1/H2-Oa/H2-Q10/Irf4/Socs1/Ncf4/Fasl/Elf4/Il4ra/Crtam/Il1b/Itgb2/Itk/Bcl3/H2-T23/Cd247/Stat1/B2m/Fcgr2b/Cd40/Ltb/Timp1/Il2ra/Tlr2/Ptprc/Cd3d/Cd28/Sit1/Il2rg/Cxcl13/Tap1/Itgal/Ccr1/Ccl7/Fgr/Cd2/Irf7/Gpr65/Il2rb/Ccr2/H2-Q7/Cd96/Ccl4/Klrd1/Gbp2/Cd74/Tnf/Ccl2/Ncr1/H2-Aa/Cxcr3/Il12b/Cd8a/Ifng/Cd3g/Prf1/Il10/Cd3e/Cd8b1/Cd40lg/Ccl5/Gzma/Cxcl9/Gzmb
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	98	-0.8741456734540749	-2.260806954674178	9.301147720573623e-24	1.5501912867622707e-22	1.044339393187214e-22	1826	tags=72%, list=8%, signal=67%	Cmpk2/Il15/Psme2/Csf1/Psme1/Lpar6/Ly6e/Elf1/Irf9/Ifitm2/Stat2/Nmi/Plscr1/Trim25/Helz2/Procr/Il7/Parp12/Ifi35/Ccrl2/Casp8/Trim5/Ifitm1/Eif2ak2/Herc6/Trim12c/Uba7/Trim21/Parp9/H2-Q10/Dhx58/Ifit2/Irf1/Ube2l6/Tmem140/Ifih1/Trim14/Il4ra/Casp1/Lgals3bp/C1s1/Ifitm3/Samd9l/Rtp4/Sp110/B2m/Isg20/Rsad2/Ifi30/Parp14/Ddx60/Bst2/Ifit3/Gbp3/Usp18/Isg15/Epsti1/Psmb8/Psmb9/Oas1a/Tap1/Sell/Oas1g/Ifi44/Batf2/Irf7/Oasl1/H2-Q7/Gbp2/Cd74/Cxcl10
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	200	-0.7543213904903969	-2.027057256829942	6.0563978033097635e-18	7.570497254137204e-17	5.1001244659450646e-17	2130	tags=47%, list=9%, signal=43%	Cd14/Met/Klf6/P2ry2/Gpr132/Icosl/Nampt/Cd70/Gpr183/Olr1/Il15/Csf1/Sphk1/Axl/Lif/Il1r1/Abca1/Pik3r5/Il15ra/Ly6e/Serpine1/Tlr3/Il6/Ebi3/Gna15/Mmp14/Lcp2/Ffar2/Pdpn/Lta/Ptgir/Csf3r/Nmi/Ptger2/Cmklr1/Tapbp/Osmr/Ptger4/Tnfrsf9/Il18rap/Lyn/Lck/Il10ra/Clec5a/Sele/Icam1/Nlrp3/Ccrl2/Ptafr/Emp3/Marco/Ifitm1/Adgre1/Eif2ak2/Ccl22/Il18r1/Has2/Osm/Tnfrsf1b/Slamf1/Il1a/Tnfsf10/Tlr1/C5ar1/Slc28a2b/Irf1/Il7r/Il4ra/Il1b/C3ar1/Rtp4/Ccr7/Cd40/Timp1/Cd48/Rgs1/Bst2/Tlr2/Slc28a2/Sell/Ccl7/Irf7/Cybb/Cd69/Il2rb/Msr1/Cxcr6/Ccl2/Il12b/Il10/Mefv/Cxcl10/Ccl5/Cxcl9
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	86	-0.8283145373561858	-2.1121849239568826	1.4331615914058672e-14	1.4331615914058673e-13	9.654983352629e-14	2496	tags=65%, list=11%, signal=58%	Lepr/Il1r2/Cxcl2/Cd14/Stat3/Ifngr1/Il17ra/Bak1/Csf1/Il3ra/Tnfrsf1a/Il13ra1/Il1r1/Il9r/Pik3r5/Il15ra/Tgfb1/Il6/Ebi3/Il10rb/Itga4/Map3k8/Dntt/Irf9/Fas/Cd38/Stat2/Myd88/Csf3r/Pim1/Osmr/Il7/Il18r1/Tnfrsf1b/Cd36/Il12rb1/Hmox1/Irf1/Csf2rb2/Cd44/Socs3/Socs1/Il4ra/A2m/Il1b/Stat1/Ltb/Il2ra/Tlr2/Il2rg/Cxcl13/Ccr1/Ccl7/Tnf/Cxcl10/Cxcl9
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	199	-0.6996656063134039	-1.8809910897974622	3.110143881916008e-12	2.5917865682633403e-11	1.7460456880931977e-11	3547	tags=48%, list=16%, signal=41%	Rora/Lrrc8c/Rgs16/Tnfrsf8/Cd83/Ckap4/Swap70/Ahr/She/Myo1e/Myc/Adam19/Enpp1/Csf2/Myo1c/Tnfrsf18/Itih5/Muc1/Abcb1a/Nrp1/Il1r2/Eomes/Itga6/Pth1r/Il13/P2rx4/Casp3/Galm/Mapkapk2/F2rl2/Klf6/Irf6/Ikzf2/Ifngr1/Capn3/Ecm1/Slc39a8/Cdc6/Gata1/Csf1/Il1rl1/Batf3/Il3ra/Lif/Syngr2/Tnfrsf4/Slc1a5/Map3k8/Selp/Emp1/Ahnak/Hk2/Ctsz/Pim1/Plin2/Ptger2/Plscr1/Anxa4/Tnfrsf9/Spp1/Tlr7/Itgae/Il10ra/Traf1/Glipr2/Rhoh/Cd86/Ccr4/Il18r1/Cd79b/Tgm2/Tnfrsf1b/Capg/Tnfsf10/Irf8/Irf4/Cd44/Socs1/Tnfsf11/Il4ra/Ifitm3/Ltb/Batf/Il2ra/Cd48/Gbp3/Fgl2/Ctla4/Sell/Gpr65/Il2rb/Icos/Cst7/Il10/Cxcl10
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	193	-0.6865278459908986	-1.8450526544799069	1.5839964101329642e-10	1.1314260072378317e-9	7.622238364549602e-10	2974	tags=41%, list=13%, signal=36%	Plaur/Pfn1/Irf2/Pla2g7/Prkcd/Cd55/Ctsl/Ctso/Mmp12/Lipa/Cebpb/S100a9/Apoc1/Fcnb/Casp3/Ctsb/Cxcl2/Prcp/Lamp2/Cpq/Ang/Olr1/Ctsd/Tnfaip3/Kynu/Pla2g4a/Pik3r5/Serpine1/Il6/Tfpi2/Lgmn/Mmp14/Lcp2/Dpp4/Casp7/C2/Cfh/Fn1/Pim1/Gngt2/Plscr1/Itgam/Plek/Cp/Pik3cg/C1qa/C1qc/Lyn/Lck/F7/Was/C1rb/Serpina1b/Ctsh/Klk1/Mmp8/Fcer1g/Mmp13/Ctss/Gata3/Cd36/Irf1/Gzmk/Casp1/C1s1/Cfb/Ctsc/Serping1/Timp1/F10/Casp4/Lgals3/Psmb9/Irf7/C3/Cd40lg/Ccl5/Gzma/Gzmb
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	161	-0.6645325209503594	-1.7729229233811625	2.920622625573867e-7	1.6225681253188148e-6	1.0930985265305701e-6	2130	tags=30%, list=9%, signal=27%	Cd14/Mmp2/Ifngr1/Hmgb2/Pmaip1/Atf3/Cav1/Bmf/F2r/Hgf/Gstm2/Plcb2/Cflar/Cdk2/Bcl2l11/Dcn/Il6/Bgn/Gna15/Top2a/Fas/Cd38/Emp1/Lum/Casp7/Anxa1/Ifnb1/Casp8/Birc3/Tspo/Il1a/Tnfsf10/Hmox1/Irf1/Cd44/Fasl/Casp1/Ifitm3/Il1b/Isg20/Timp1/Casp4/Lgals3/Tap1/Cd2/Cd69/Tnf/Prf1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	199	-0.635987018787818	-1.7097966582494553	2.6857841996463137e-7	1.6225681253188148e-6	1.0930985265305701e-6	2511	tags=36%, list=11%, signal=32%	Ripk2/Cebpb/Sat1/Sdc4/Relb/Cxcl2/Dram1/Klf6/Rel/Atf3/Cebpd/Icosl/Nampt/Gpr183/Olr1/Cflar/Zfp36/Csf1/Tnfaip3/Sphk1/Lif/Kynu/Tnfaip8/Nr4a2/Stat5a/Abca1/Il15ra/Nfe2l2/Clcf1/Serpine1/Il6/Tnc/Cd80/Map3k8/Fut4/Zc3h12a/Nfkb2/B4galt1/Plek/Plau/Rigi/Ptger4/Tnfrsf9/Nfkbie/Tgif1/Icam1/Tnfaip2/Traf1/Ccrl2/Birc3/Dusp2/Il1a/Ptx3/Ifit2/Irf1/Il7r/Cd44/Socs3/Ifih1/Il1b/Bcl3/Tlr2/Bcl2a1a/Tap1/Cd69/Ccl4/Tnf/Ccl2/Il12b/Cxcl10/Ccl5
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	199	-0.6260793288943295	-1.6831606820888942	9.085397160248452e-7	4.542698580124226e-6	3.0603443066100053e-6	4039	tags=49%, list=18%, signal=40%	Lama3/Cadm1/Plod2/Fzd8/Tnfrsf12a/Col4a1/Itgb3/Igfbp3/Loxl1/Plod1/Fgf2/Tgfbr3/Id2/Sgcg/Lama2/Cald1/Timp3/Nnmt/Msx1/Gas1/Sgcd/Lama1/Pdlim4/Mfap5/Plaur/Serpinh1/Fbn1/Fstl1/Comp/Snai2/Mylk/Sntb1/Notch2/Efemp2/Ecm2/Sat1/Sdc4/Sfrp4/Tpm4/Lrrc15/Cxcl2/Sdc1/Itgb1/Lamc2/Eln/Prrx1/Acta2/Fbln1/Matn3/Wnt5a/Mmp2/Fbln5/Tagln/Ecm1/Pcolce/Wipf1/Il15/Itga2/Dcn/Tnfaip3/Tgfb1/Igfbp2/Serpine1/Glipr1/Il6/Dab2/Tfpi2/Tnc/Thbs1/Thbs2/Bgn/Fmod/Mmp14/Fas/Lum/Loxl2/Col1a2/Fn1/Vcam1/Lgals1/Col1a1/Mgp/Spp1/Tnfrsf11b/Emp3/Col3a1/Vim/Tgm2/Anpep/Capg/Lox/Foxc2/Ptx3/Cd44/Tgfbi/Timp1/Mmp3
